Li(mm);u(Li)mm;n;xini(mm);u(xini)(mm);xlpi(mm);u(xlpi)(mm)
300;0,577350269;1;8;2;8;2
;0,577350269;2;17;;17;
;0,577350269;3;24;;24;
;0,577350269;4;;;;
;0,577350269;5;;;;
350;0,577350269;1;9;2;9;2
;0,577350269;2;19;;19;
;0,577350269;3;28;;28;
;0,577350269;4;;;;
;0,577350269;5;;;;
400;0,577350269;1;11;2;11;2
;0,577350269;2;22;;22;
;0,577350269;3;33;;32;
;0,577350269;4;;;;
;0,577350269;5;;;;
450;0,577350269;1;13;2;13;2
;0,577350269;2;24;;24;
;0,577350269;3;37;;37;
;0,577350269;4;;;;
;0,577350269;5;;;;
500;0,577350269;1;14;2;14;2
;0,577350269;2;27;;26;
;0,577350269;3;40;;40;
;0,577350269;4;;;;
;0,577350269;5;;;;
